CustomerKey,First Name,Last Name,Full Name,Gender,DateFirstPurchase,Customer City
11000,Jon,Yang,Yang Yang,Male,2021-01-19,Rockhampton
11001,Eugene,Huang,Huang Huang,Male,2021-01-15,Seaford
11002,Ruben,Torres,Torres Torres,Male,2021-01-07,Hobart
11003,Christy,Zhu,Zhu Zhu,Female,2020-12-29,North Ryde
11004,Elizabeth,Johnson,Johnson Johnson,Female,2021-01-23,Wollongong
11005,Julio,Ruiz,Ruiz Ruiz,Male,2020-12-30,East Brisbane
11006,Janet,Alvarez,Alvarez Alvarez,Female,2021-01-24,Matraville
11007,Marco,Mehta,Mehta Mehta,Male,2021-01-09,Warrnambool
11008,Rob,Verhoff,Verhoff Verhoff,Female,2021-01-25,Bendigo
11009,Shannon,Carlson,Carlson Carlson,Male,2021-01-27,Hervey Bay
11010,Jacquelyn,Suarez,Suarez Suarez,Female,2021-01-14,East Brisbane
11011,Curtis,Lu,Lu Lu,Male,2020-12-30,East Brisbane
11012,Lauren,Walker,Walker Walker,Female,2023-03-16,Bremerton
11013,Ian,Jenkins,Jenkins Jenkins,Male,2023-04-13,Lebanon
11014,Sydney,Bennett,Bennett Bennett,Female,2023-03-23,Redmond
11015,Chloe,Young,Young Young,Female,2023-01-18,Burbank
11016,Wyatt,Hill,Hill Hill,Male,2023-02-09,Imperial Beach
11017,Shannon,Wang,Wang Wang,Female,2021-01-12,Sunbury
11018,Clarence,Rai,Rai Rai,Male,2021-01-17,Bendigo
11019,Luke,Lal,Lal Lal,Male,2023-02-12,Langley
11020,Jordan,King,King King,Male,2022-12-29,Metchosin
11021,Destiny,Wilson,Wilson Wilson,Female,2023-01-23,Beaverton
11022,Ethan,Zhang,Zhang Zhang,Male,2023-01-20,Bellingham
11023,Seth,Edwards,Edwards Edwards,Male,2023-02-17,Bellflower
11024,Russell,Xie,Xie Xie,Male,2023-06-27,Concord
11025,Alejandro,Beck,Beck Beck,Male,2021-01-06,Hawthorne
11026,Harold,Sai,Sai Sai,Male,2021-01-23,Goulburn
11027,Jessie,Zhao,Zhao Zhao,Male,2021-01-16,Warrnambool
11028,Jill,Jimenez,Jimenez Jimenez,Female,2021-01-26,St. Leonards
11029,Jimmy,Moreno,Moreno Moreno,Male,2021-01-19,Bendigo
11030,Bethany,Yuan,Yuan Yuan,Female,2021-02-05,Cloverdale
11031,Theresa,Ramos,Ramos Ramos,Female,2021-02-01,Matraville
11032,Denise,Stone,Stone Stone,Female,2021-02-18,Melbourne
11033,Jaime,Nath,Nath Nath,Male,2021-02-15,Milsons Point
11034,Ebony,Gonzalez,Gonzalez Gonzalez,Female,2021-02-01,North Sydney
11035,Wendy,Dominguez,Dominguez Dominguez,Female,2021-02-06,Cranbourne
11036,Jennifer,Russell,Russell Russell,Female,2023-01-22,National City
11037,Chloe,Garcia,Garcia Garcia,Female,2023-01-20,Cliffside
11038,Diana,Hernandez,Hernandez Hernandez,Female,2021-02-07,Lavender Bay
11039,Marc,Martin,Martin Martin,Male,2021-02-07,Wollongong
11040,Jesse,Murphy,Murphy Murphy,Male,2023-04-03,Tacoma
11041,Amanda,Carter,Carter Carter,Female,2023-01-14,Glendale
11042,Megan,Sanchez,Sanchez Sanchez,Female,2023-01-21,Los Angeles
11043,Nathan,Simmons,Simmons Simmons,Male,2023-05-08,Glendale
11044,Adam,Flores,Flores Flores,Male,2021-02-28,Hervey Bay
11045,Leonard,Nara,Nara Nara,Male,2023-04-10,Matraville
11046,Christine,Yuan,Yuan Yuan,Female,2021-02-06,Lavender Bay
11047,Jaclyn,Lu,Lu Lu,Female,2021-02-03,Geelong
11048,Jeremy,Powell,Powell Powell,Male,2021-02-10,Sunbury
11049,Carol,Rai,Rai Rai,Female,2023-03-09,Chula Vista
11050,Alan,Zheng,Zheng Zheng,Male,2021-02-20,Hobart
11051,Daniel,Johnson,Johnson Johnson,Male,2023-12-29,Caloundra
11052,Heidi,Lopez,Lopez Lopez,Female,2021-02-17,Matraville
11053,Ana,Price,Price Price,Female,2023-01-17,San Diego
11054,Deanna,Munoz,Munoz Munoz,Female,2021-02-03,Geelong
11055,Gilbert,Raje,Raje Raje,Male,2021-01-31,East Brisbane
11056,Michele,Nath,Nath Nath,Female,2021-02-26,Newcastle
11057,Carl,Andersen,Andersen Andersen,Male,2021-02-22,Lane Cove
11058,Marc,Diaz,Diaz Diaz,Male,2021-03-09,Findon
11059,Ashlee,Andersen,Andersen Andersen,Female,2023-02-18,Townsville
11060,Jon,Zhou,Zhou Zhou,Male,2021-03-19,Warrnambool
11061,Todd,Gao,Gao Gao,Male,2021-03-13,Gold Coast
11062,Noah,Powell,Powell Powell,Male,2023-01-07,Portland
11063,Angela,Murphy,Murphy Murphy,Female,2023-01-12,Redmond
11064,Chase,Reed,Reed Reed,Male,2023-01-25,Downey
11065,Jessica,Henderson,Henderson Henderson,Female,2023-02-10,La Jolla
11066,Grace,Butler,Butler Butler,Female,2023-05-31,Lebanon
11067,Caleb,Carter,Carter Carter,Male,2023-08-18,Port Orchard
11068,Tiffany,Liang,Liang Liang,Female,2023-04-30,Warrnambool
11069,Carolyn,Navarro,Navarro Navarro,Female,2021-04-17,Gold Coast
11070,Willie,Raji,Raji Raji,Male,2021-04-28,Sunbury
11071,Linda,Serrano,Serrano Serrano,Female,2023-03-01,Hawthorne
11072,Casey,Luo,Luo Luo,Female,2021-03-31,St. Leonards
11073,Amy,Ye,Ye Ye,Female,2023-03-23,Springwood
11074,Levi,Arun,Arun Arun,Male,2023-03-23,Cloverdale
11075,Felicia,Jimenez,Jimenez Jimenez,Female,2021-04-28,Bendigo
11076,Blake,Anderson,Anderson Anderson,Male,2021-04-21,Wollongong
11077,Leah,Ye,Ye Ye,Female,2021-04-15,Melton
11078,Gina,Martin,Martin Martin,Female,2023-02-15,Cliffside
11079,Donald,Gonzalez,Gonzalez Gonzalez,Male,2023-03-15,Geelong
11080,Damien,Chander,Chander Chander,Male,2021-04-10,Perth
11081,Savannah,Baker,Baker Baker,Female,2023-02-12,Concord
11082,Angela,Butler,Butler Butler,Female,2023-01-22,Fremont
11083,Alyssa,Cox,Cox Cox,Female,2023-01-06,Lincoln Acres
11084,Lucas,Phillips,Phillips Phillips,Male,2023-01-04,Lebanon
11085,Emily,Johnson,Johnson Johnson,Female,2023-12-06,Newport Beach
11086,Ryan,Brown,Brown Brown,Male,2023-07-02,Santa Monica
11087,Tamara,Liang,Liang Liang,Female,2023-02-25,Chula Vista
11088,Hunter,Davis,Davis Davis,Male,2023-01-13,San Diego
11089,Abigail,Price,Price Price,Female,2022-12-29,Long Beach
11090,Trevor,Bryant,Bryant Bryant,Male,2021-08-07,Los Angeles
11091,Dalton,Perez,Perez Perez,Male,2023-01-29,Haney
11092,Cheryl,Diaz,Diaz Diaz,Female,2021-04-08,East Brisbane
11093,Aimee,He,He He,Female,2021-04-07,Wollongong
11094,Cedric,Ma,Ma Ma,Male,2023-04-07,Cranbourne
11095,Chad,Kumar,Kumar Kumar,Male,2021-04-01,Port Macquarie
11096,Andrés,Anand,Anand Anand,Male,2021-04-11,North Sydney
11097,Edwin,Nara,Nara Nara,Male,2021-04-04,Warrnambool
11098,Mallory,Rubio,Rubio Rubio,Female,2023-02-11,Rhodes
11099,Adam,Ross,Ross Ross,Male,2021-04-07,Port Macquarie
11100,Latasha,Navarro,Navarro Navarro,Female,2021-04-16,Cloverdale
11101,Abby,Sai,Sai Sai,Female,2021-04-29,Cranbourne
11102,Julia,Nelson,Nelson Nelson,Female,2023-07-16,Sydney
11103,Cassie,Chande,Chande Chande,Female,2021-04-15,Darlinghurst
11104,Edgar,Sara,Sara Sara,Male,2021-05-04,Gold Coast
11105,Candace,Fernandez,Fernandez Fernandez,Female,2021-05-14,Matraville
